Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Paris, France",02-02-2020,52,60.7,55.6,53,91.13,,14.3,34.4,242.29,,0.4,45.83,,7.8,16,1014.2,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",03-02-2020,46.3,56.4,53.4,49.4,86.55,,20.8,40.5,259.88,40,0.3,20.83,,9.2,12.6,1016.9,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",04-02-2020,42.3,48.1,45,37.1,74.16,,19.7,41.4,307.17,35.7,0.2,8.33,,10.9,17.2,1023.2,Light Rain,48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",05-02-2020,40.5,49.2,45.7,36.7,70.71,,10.5,23,181.54,37.1,0,0,,11.3,11.1,1035.7,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",06-02-2020,36.3,49.9,42.3,32.4,69.76,,8.6,18.3,99.54,33,0,0,,11.3,0,1031.5,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",07-02-2020,35.4,52,43.5,33.1,67,,8.1,18.3,154.88,29.3,0,0,,11.3,0.3,1023.1,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",08-02-2020,45.9,50.7,48.4,43.2,82.51,,9,20.8,204.5,42.6,0.1,12.5,6.3,10.2,9.2,1021,"Drizzle, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",09-02-2020,45.4,55.9,50,45.6,85.05,,26.9,57.8,217,40.8,0,12.5,,10.1,16.4,1012.3,"Mist, Light Drizzle, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",10-02-2020,46.2,57.2,51,40.8,68.49,,26.7,61.3,261.58,38.4,0.4,33.33,,9.7,12.5,1007.5,"Rain, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",11-02-2020,40.2,48.7,43.6,35.6,73.89,,18.2,43.1,269.38,33.1,0,16.67,,10.7,9.3,1015.7,Light Rain,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",12-02-2020,39.1,49.2,43.4,35,72.98,,12.6,36.9,244.75,33.2,0,0,,11.3,5.6,1020.5,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",13-02-2020,41.2,54.9,47.4,39.4,74.43,,19,55.3,234.42,36.5,0.1,12.5,,10.8,9.2,1007.2,"Rain, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",14-02-2020,47.7,53.1,49.6,41.9,75.08,,11.1,23,239.42,43.6,0,0,,11,10.7,1021.6,Light Rain,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",15-02-2020,43.8,56.4,49.8,43.2,78.33,,15.4,34.2,200.62,38.6,0,4.17,,9.9,7,1019.5,Light Rain,48.85718,2.34141,"Paris, France",,,Clear
